gauge_id,gauge_name,country,gauge_lat,gauge_lon,area
camelsgb_10002,Ugie at Inverugie,Scotland,57.526691146071,-1.832792330640136,324.3123507633707
camelsgb_10003,Ythan at Ellon,Scotland,57.36377126841398,-2.090017339930295,529.9924661936965
camelsgb_1001,Wick at Tarroul,Scotland,58.47619578230649,-3.267060556538969,157.4450958169057
camelsgb_11001,Don at Parkhill,Scotland,57.21832145169754,-2.187586463990544,1263.679902886383
camelsgb_11003,Don at Bridge of Alford,Scotland,57.24230293320858,-2.717123061826016,507.72176029132993
camelsgb_11004,Urie at Pitcaple,Scotland,57.323518779572936,-2.464869565631641,194.59980690647996
camelsgb_12001,Dee at Woodend,Scotland,57.05012909020802,-2.603567174692242,1374.035090863065
camelsgb_12002,Dee at Park,Scotland,57.07542399235027,-2.3358251556053893,1825.2718290400087
camelsgb_12005,Muick at Invermuick,Scotland,57.03951543059123,-3.0493050348361272,108.90835359962912
camelsgb_12006,Gairn at Invergairn,Scotland,57.059926128258894,-3.069535420960291,145.2722611853086
camelsgb_12007,Dee at Mar Lodge,Scotland,56.98804048513928,-3.486197881431712,290.6889906324556
camelsgb_12008,Feugh at Heugh Head,Scotland,57.02524568604738,-2.5171609453401493,231.85998043836744
camelsgb_13001,Bervie at Inverbervie,Scotland,56.85144055086835,-2.2861194693239084,123.94636553952806
camelsgb_13004,Prosen Water at Prosen Bridge,Scotland,56.71469975257712,-2.988763619946109,107.05965925571375
camelsgb_13005,Lunan Water at Kirkton Mill,Scotland,56.63544716644402,-2.5645840643206634,128.381090709324
camelsgb_13007,North Esk at Logie Mill,Scotland,56.76687729301276,-2.4933654538663426,743.8813403913169
camelsgb_13008,South Esk at Brechin,Scotland,56.7269227498334,-2.655900445358707,487.6034342993549
camelsgb_14001,Eden at Kemback,Scotland,56.33090339132829,-2.9484430071478327,307.4457537352678
camelsgb_14002,Dighty Water at Balmossie Mill,Scotland,56.48175496410612,-2.851665394978175,127.08220722545664
camelsgb_15007,Tay at Pitnacree,Scotland,56.660068233774574,-3.756901358563639,1143.7911880428212
camelsgb_15010,Isla at Wester Cardean,Scotland,56.60590453803648,-3.151232702664105,362.2080906890287
camelsgb_15011,Lyon at Comrie Bridge,Scotland,56.61422920026542,-3.980864766273719,386.5375935589726
camelsgb_15012,Tummel at Pitlochry,Scotland,56.69656769956334,-3.720794936843039,1658.6656655553534
camelsgb_15013,Almond at Almondbank,Scotland,56.415275148176285,-3.51359844450611,172.53271645228523
camelsgb_15014,Ardle at Kindrogan,Scotland,56.74926971147233,-3.544931357031745,105.0707249331515
camelsgb_15016,Tay at Kenmore,Scotland,56.59638814308706,-3.9850617805403457,595.5085047132471
camelsgb_15023,Braan at Hermitage,Scotland,56.560980890635335,-3.607201736162133,209.78439150982663
camelsgb_15024,Dochart at Killin,Scotland,56.45816210098314,-4.331876616238332,231.47680477787264
camelsgb_15025,Ericht at Craighall,Scotland,56.60905795202071,-3.3471758070336914,435.4898490807287
camelsgb_15030,Dean Water at Dean Bridge,Scotland,56.59887958752436,-3.1530712169107,243.29244811932196
camelsgb_15039,Tilt at Marble Lodge,Scotland,56.82242288057464,-3.816539408783071,165.69154602647973
camelsgb_16001,Earn at Kinkell Bridge,Scotland,56.33018707924382,-3.726992969424669,582.0491158949636
camelsgb_16003,Ruchill Water at Cultybraggan,Scotland,56.35972781580578,-4.001442501433706,100.615866596617
camelsgb_16004,Earn at Forteviot Bridge,Scotland,56.34759941048151,-3.548359530328773,780.4229509614839
camelsgb_17001,Carron at Headswood,Scotland,56.01500085555186,-3.875456846228774,120.60988429509442
camelsgb_17004,Ore at Balfour Mains,Scotland,56.18473319167514,-3.0815706043624687,158.52242971577513
camelsgb_17005,Avon at Polmonthill,Scotland,55.99837264372875,-3.6819988231395016,193.9760508019449
camelsgb_18001,Allan Water at Kinbuck,Scotland,56.2255550862256,-3.949530739309196,159.58134283700818
camelsgb_18002,Devon at Glenochil,Scotland,56.14364524411714,-3.839304890934734,177.91586635573444
camelsgb_18003,Teith at Bridge of Teith,Scotland,56.18573475488031,-4.055574579219282,513.2528565129388
camelsgb_18008,Leny at Anie,Scotland,56.25788153660383,-4.285414753187121,191.52227486873463
camelsgb_18010,Forth at Gargunnock,Scotland,56.13266076218777,-4.070571456405139,389.5239701626653
camelsgb_18011,Forth at Craigforth,Scotland,56.13609979104489,-3.970218305438582,1022.972347373731
camelsgb_19001,Almond at Craigiehall,Scotland,55.963133418733385,-3.3385327800556057,377.9270348249536
camelsgb_19006,Water of Leith at Murrayfield,Scotland,55.945631507342334,-3.2377868209696703,101.84778729061918
camelsgb_20003,Tyne at Spilmersford,Scotland,55.91003218681246,-2.8714976514569384,162.11584046471438
camelsgb_2001,Helmsdale at Kilphedir,Scotland,58.14100101841326,-3.702948434618894,550.5759725178066
camelsgb_2002,Brora at Bruachrobie,Scotland,58.01055688609858,-3.8775654725303017,421.4330446744797
camelsgb_21003,Tweed at Peebles,Scotland,55.64800654699852,-3.18024679324982,695.2682080169319
camelsgb_21006,Tweed at Boleside,Scotland,55.59141727648144,-2.797700076533858,1499.4462147219538
camelsgb_21008,Teviot at Ormiston Mill,Scotland,55.54513469331304,-2.4733646789414285,1117.145797927977
camelsgb_21011,Yarrow Water at Philiphaugh,Scotland,55.53969571660128,-2.890335251904709,231.5189278794664
camelsgb_21012,Teviot at Hawick,Scotland,55.43436651531822,-2.7564574020524644,323.1408239352488
camelsgb_21013,Gala Water at Galashiels,Scotland,55.62716461547184,-2.8284581029610045,204.6156905526208
