gauge_id,p_mean,pet_mean,aridity,frac_snow,moisture_index,seasonality,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur
hysets_01119384,3.1071319049900645,16.39984256280374,5.278128854608823,0.2391713371809961,-0.7789941979663948,0.2924757521429988,0.0578410568827435,1.1372812920592197,0.6591142446437128,3.487504527345165
hysets_01120790,3.247536450133473,16.23471558628255,4.999086487732973,0.2356364560121579,-0.7692321916692871,0.289785020122951,0.0578410568827435,1.1266666666666667,0.6487781504551988,3.3801711840228243
hysets_01120800,3.247787665137904,16.239558491341032,5.000190950183773,0.2356375062850902,-0.7693477853036917,0.2894351074367256,0.0579779587925251,1.1278295605858857,0.6484358956807448,3.3771836007130123
hysets_011230695,3.189566705455536,16.516338558422824,5.178238953326405,0.1506424486258144,-0.7786846451390684,0.2770018830393487,0.0572249982887261,1.1343283582089552,0.6513792867410501,3.397358086397716
hysets_01133000,3.4134711479224964,11.167919775480868,3.2717193998484144,0.274174868952972,-0.5843695626731105,0.7621865705611575,0.0414128277089465,1.0980036297640654,0.5314532137723321,2.5717124875786683
hysets_01134500,3.204106372783884,11.555851872133651,3.606575602573821,0.2866255200448239,-0.6176191456685138,0.7205087207694707,0.0430556506263262,1.0901213171577122,0.5512355397357793,2.6951137884872827
hysets_01135000,3.172156205079054,11.75347046341304,3.7051991464336256,0.2863955878119253,-0.6302669231827481,0.6869891599585987,0.0436717092203436,1.1038062283737025,0.5580121842699706,2.738327175008397
hysets_01135300,3.187255116708865,12.17452871517553,3.819753445951592,0.2784038175700674,-0.6509749715689501,0.615857406003793,0.0446300225888151,1.110732538330494,0.5675953179546854,2.768614357262104
hysets_01137500,3.6247018960914414,10.986955986036016,3.0311336769193016,0.3707438350805962,-0.5195282745024214,0.9622495976211202,0.04504072831816,1.082236842105263,0.5408994455472654,2.6348782927642547
hysets_01137940,3.419230611267009,11.352203436237897,3.320104645422349,0.2893976050434736,-0.5710796925394156,0.8436002841930338,0.0444246697241426,1.0816666666666668,0.5471969333972209,2.683450822423632
hysets_01144000,3.337084673831193,12.159199123827747,3.643659155303419,0.2813787744082039,-0.6501869140822804,0.545124812778647,0.0464781983708672,1.0881410256410255,0.5760147854062564,2.833333333333333
hysets_01153500,3.32317475528782,13.20957149702237,3.974985509264405,0.2960240135813116,-0.6907681332862262,0.4458813171843228,0.0529810390854952,1.097872340425532,0.6094873023478677,3.0682288077188145
hysets_01153550,3.301407351632548,13.278997878020387,4.022223392534071,0.2974791193769042,-0.6941536527455548,0.4416265638358068,0.0529810390854952,1.0963172804532575,0.6112670271750291,3.074010327022376
hysets_01154000,3.2540666712300594,13.662959134779856,4.198733620173543,0.3050358268283811,-0.707619394911522,0.4206259788966492,0.0548976658224382,1.1062068965517242,0.6217400232733247,3.173654786862334
hysets_01154950,2.951599014306251,14.591868711068528,4.943716487348883,0.3238038164798047,-0.7433730399213369,0.4151954868008746,0.057635704018071,1.1093544137022395,0.649462660004107,3.409270571325908
hysets_01169000,3.6831302621671655,13.654615647888312,3.707339864719825,0.3057794150319471,-0.6773659916599053,0.4411969753235144,0.0542816072284208,1.0907840440165062,0.6109932233554658,3.127540294323756
hysets_01170100,3.582603874324038,13.789745362447778,3.849084589361589,0.3067905722419086,-0.6881128248388703,0.4308249514139075,0.0551030186871106,1.09375,0.6193442398521459,3.175851175851176
hysets_01171500,3.501831747552865,14.67696283113151,4.191224447430406,0.2322958843506239,-0.7216627854979504,0.3557067768950727,0.0555821753713464,1.1047619047619048,0.6362516257101787,3.3255813953488373
hysets_01174500,3.10468136080497,14.926059278526946,4.807597799555499,0.2447541892886056,-0.7464986252518552,0.3708843946215729,0.0564720377849271,1.1239782016348774,0.6513108357861592,3.425125989920806
hysets_01176000,3.158815113970843,15.944172085700584,5.047516714473892,0.2412015984069751,-0.7654966420139083,0.3207107847358297,0.0574303511533985,1.1142098273572376,0.6509685810117051,3.415948275862069
hysets_01181000,3.765801902936535,14.35331644876444,3.811490040825532,0.2230342504253788,-0.6955943696319741,0.3707618477817546,0.053802450544185,1.1023842917251052,0.620097200355945,3.201060070671378
hysets_01189000,3.3966062016565,16.15799507153123,4.757099914512049,0.2269902557905783,-0.7628968008059115,0.2664593295543385,0.0573619001985077,1.1158455392809588,0.6491888561845438,3.431259044862518
hysets_01192704,3.186498733657318,16.23712369087545,5.095600233375652,0.1480095482296312,-0.7781668779872567,0.2672082029337731,0.0574303511533985,1.1246648793565683,0.6571976179067698,3.471077368040492
hysets_01193500,3.169018413306857,16.719973304127624,5.276073257864224,0.1502466801453202,-0.7852315969644742,0.2651423524613141,0.0567458416044903,1.1263586956521738,0.6556916968991717,3.450648414985591
hysets_01196500,3.279930864535547,16.8391957012801,5.1340093425001525,0.1469720105127012,-0.7849366342832287,0.2301661295380012,0.0560613320555821,1.121917808219178,0.6507632281470327,3.405085959885387
hysets_01198000,3.070998014922285,14.682818810322471,4.781122859401795,0.2354300577749024,-0.750167198889109,0.3522104653188878,0.0544869600930933,1.0979310344827586,0.6372099390786502,3.2975557917109457
hysets_01198125,3.3007433773701167,14.35718940379223,4.349683620430798,0.2321891389867896,-0.7242839666735845,0.3867729162342156,0.053049490040386,1.0930888575458393,0.6186597303032377,3.156828501571778
hysets_01198200,3.401071257444034,14.657374221370404,4.309634556844212,0.2285068307872085,-0.7287146656216191,0.3461281642013913,0.0548292148675474,1.106353591160221,0.6287220206721884,3.2594038325053227
hysets_01200000,3.132901635977809,15.212559381203304,4.855741146324027,0.2289375824147586,-0.7665964053215578,0.2697409108917299,0.0569511944691628,1.1093333333333333,0.6498049147785612,3.4432354007979686
hysets_01201487,3.421256075022249,16.040415497296166,4.68845802405827,0.1435671849465583,-0.7654573499993091,0.2308967884955425,0.0585940173865425,1.1088082901554404,0.6442603874324047,3.363831308077198
hysets_01203000,3.428061468957486,15.460859059483886,4.510088048154432,0.2246362941886236,-0.7513167070173692,0.2646280018556728,0.0564720377849271,1.1118598382749325,0.6404271339585187,3.36425746134484
hysets_01204000,3.425832705866239,16.24194332260934,4.741020568458402,0.1440155746781824,-0.7670124396537252,0.2338571406500134,0.0566089396947087,1.1205962059620596,0.6413169963720994,3.362885857860732
