gauge_id,p_mean,pet_mean,aridity,frac_snow,moisture_index,seasonality,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur
camelsbr_17345000,5.660979533164463,12.21838318844547,2.158351415486473,0.0,-0.3532946642439844,1.2973841706461378,0.0070504483537545,1.1195652173913044,0.379149839140256,7.092189500640205
camelsbr_17350000,5.210527072352647,10.504101581217132,2.015938394592073,0.0,-0.3390242212431761,1.326993949733494,0.0096515846396057,1.128,0.4083783968786365,6.680851063829787
camelsbr_21750000,3.6946382367034056,7.840863851050739,2.122227765944106,0.0,-0.4325634443625305,1.2201021395613674,0.0414812786638373,1.2921108742004264,0.601752344445205,9.978433598183882
camelsbr_24780000,4.258361968649467,6.9730412759258265,1.6374937892227408,0.0,-0.3622243073431393,1.3945798061157637,0.0305975768361968,1.396875,0.5124922992675748,7.171455938697318
camelsbr_25100000,4.496647272229442,9.511969333972194,2.115347003692409,0.0,-0.4318946405097331,1.2910972800523957,0.0246423437606954,1.2765957446808511,0.5224176877267438,8.188841201716738
camelsbr_27550000,5.328218906153734,7.38750085563695,1.3864859882361222,0.0,-0.2038712671179457,1.4935857053029196,0.0155383667602163,1.0966183574879227,0.4373331507974536,7.455075845974329
camelsbr_28150000,5.214459579711151,7.84973783284277,1.5053789779836777,0.0,-0.2344753208678297,1.466158527629959,0.014853857211308,1.079601990049751,0.4350742692860565,7.407925407925408
camelsbr_32400000,5.06183380108152,13.10489698131282,2.588962320041564,0.0,-0.4723372826579784,1.3512327564282836,0.0154699158053254,1.1709844559585492,0.350879594770347,3.579608938547486
camelsbr_33270000,3.60025669108082,14.503355465808818,4.028422612681769,0.0,-0.5808267418349203,1.1454630130629804,0.0275857348210007,1.2029850746268658,0.5175576699294955,7.456607495069034
camelsbr_34730000,2.547911561366263,8.57297008693276,3.364704731876835,0.0,-0.62081097745883,1.21037420188531,0.0503114518447532,1.7710843373493976,0.6500787185981245,7.803615447822515
camelsbr_35240000,2.324304880553047,8.081326579505768,3.4768788927478784,0.0,-0.6299873392177823,1.1622045627274802,0.0565404887398179,1.6686868686868688,0.695324799780957,9.573986804901036
camelsbr_35263000,2.026337873913322,7.633210349784419,3.766997818109645,0.0,-0.6631169923056697,1.0661056646496363,0.0418919843931822,1.489051094890511,0.6562393045382983,7.942833471416736
camelsbr_35740000,2.642176055855951,22.01341570264893,8.331547647576246,0.0,-0.8170701005457492,0.6238722892502113,0.0429187487165445,1.5,0.5751933739475665,5.572281167108753
camelsbr_35830000,1.918622766787584,7.903759326442596,4.119496267458627,0.0,-0.697031893570763,0.924959067705832,0.0433979054007803,1.447488584474886,0.6482989937709631,7.257471264367816
camelsbr_36210000,2.261816688342771,12.925432267780156,5.714624148984681,0.0,-0.7653256567630867,0.8299833827713872,0.0481894722431377,1.6,0.6942295845027038,8.39569536423841
camelsbr_37220000,2.058723389691258,8.739933602573773,4.245317096185748,0.0,-0.7192272234956038,0.959224558538686,0.0554452734615647,1.7197452229299364,0.73310972688069,9.605381165919283
camelsbr_39084010,1.85583544390444,8.094592374563605,4.36169726208786,0.0,-0.7572611052646244,0.2883342601615526,0.0225888151139708,1.4042553191489362,0.4591005544527346,2.649940734887396
camelsbr_39084020,2.073297967006638,7.945260455883381,3.832184559248132,0.0,-0.7224503483457337,0.3299919248449098,0.0211513450612636,1.3434782608695652,0.3957834211787254,2.4182350480970305
camelsbr_39100000,1.0572626463139534,7.889291532616895,7.461997792244119,0.0,-0.859059959082681,0.2740106148892609,0.0390170442877678,1.623931623931624,0.7540557190772811,6.36027713625866
camelsbr_39170000,2.469438017660353,7.309275104387717,2.95989413466341,0.0,-0.6389804293451563,0.4672120461503212,0.016017523444452,1.24468085106383,0.315764254911356,2.061215370866845
camelsbr_39480000,2.694286398795265,6.722197275651993,2.494982448286784,0.0,-0.5622359682354136,0.6501991889595593,0.0140324457526182,1.2654320987654322,0.2946813608049832,2.1041055718475072
camelsbr_39580000,2.999526319392145,6.693842152098006,2.231633077803603,0.0,-0.4936217220357774,0.8460799486758926,0.0138270928879457,1.2546583850931676,0.278732288315422,2.314951677089255
camelsbr_40025000,5.003590937093569,6.126091450475744,1.2243389852397086,0.0,-0.2678115349585294,1.305267799523167,0.0320350468889041,1.2717391304347827,0.5349442124717639,6.062839410395656
camelsbr_40037000,4.925808063522451,6.117767814360999,1.2419825814297312,0.0,-0.2706560247653949,1.312956719790073,0.0283386953247997,1.2777777777777777,0.523855157779451,6.068992862807296
camelsbr_40040000,4.273805188582378,6.02000479156683,1.4085819371574275,0.0,-0.3392556758996833,1.2818507596649844,0.0364843589568074,1.3258706467661692,0.5582859880895339,6.371875
camelsbr_40053000,3.553089876103769,6.148731603805858,1.7305308388507206,0.0,-0.4474501586059401,1.1786829518545725,0.0456567869121774,1.536866359447005,0.5953864056403587,6.4097273397199706
camelsbr_40060001,4.432050106098975,6.048225066739637,1.3646562926751735,0.0,-0.3173578590914845,1.303003712663849,0.0347046341296461,1.2868020304568528,0.5447326990211513,6.433306386418755
camelsbr_40170000,4.105975083852411,6.01917105893626,1.4659541122419093,0.0,-0.3660058661872198,1.289580057699654,0.0492846875213909,1.4845360824742269,0.5877883496474776,6.525075987841945
camelsbr_40185000,3.89403860633856,6.138298993771005,1.5763323413844246,0.0,-0.4028346557386741,1.2544767467571505,0.047710315558902,1.5119305856832972,0.5908001916626737,6.504144687264507
camelsbr_40500000,3.6199945239236033,6.801705113286332,1.878926906749618,0.0,-0.4783183374596365,1.2339320022292628,0.0525018824012595,1.581443298969072,0.6237935519200493,7.337359098228664
